ONET_SOC_Code,Base_SOC,ONET_Title,FO_Score,FO_Probability,FO_Occupation,Mapping_Method
47-2042.00,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",79.0,0.79,Floor Layers; Except Carpet; Wood; and Hard Tiles,direct
47-2043.00,47-2043,Floor Sanders and Finishers,87.0,0.87,Floor Sanders and Finishers,direct
47-2044.00,47-2044,Tile and Stone Setters,75.0,0.75,Tile and Marble Setters,direct
47-2051.00,47-2051,Cement Masons and Concrete Finishers,94.0,0.94,Cement Masons and Concrete Finishers,direct
47-2053.00,47-2053,Terrazzo Workers and Finishers,88.0,0.88,Terrazzo Workers and Finishers,direct
47-2061.00,47-2061,Construction Laborers,88.0,0.88,Construction Laborers,direct
47-2071.00,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",83.0,0.83,Paving; Surfacing; and Tamping Equipment Operators,direct
47-2072.00,47-2072,Pile Driver Operators,82.0,0.82,Pile-Driver Operators,direct
47-2073.00,47-2073,Operating Engineers and Other Construction Equipment Operators,95.0,0.95,Operating Engineers and Other Construction Equipment Operators,direct
47-2081.00,47-2081,Drywall and Ceiling Tile Installers,79.0,0.79,Drywall and Ceiling Tile Installers,direct
47-2082.00,47-2082,Tapers,62.0,0.62,Tapers,direct
47-2111.00,47-2111,Electricians,15.0,0.15,Electricians,direct
47-2121.00,47-2121,Glaziers,73.0,0.73,Glaziers,direct
47-2131.00,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",83.0,0.83,Insulation Workers; Floor; Ceiling; and Wall,direct
47-2132.00,47-2132,"Insulation Workers, Mechanical",64.0,0.64,Insulation Workers; Mechanical,direct
47-2141.00,47-2141,"Painters, Construction and Maintenance",75.0,0.75,Painters; Construction and Maintenance,direct
47-2142.00,47-2142,Paperhangers,87.0,0.87,Paperhangers,direct
47-2151.00,47-2151,Pipelayers,62.0,0.62,Pipelayers,direct
47-2152.00,47-2152,"Plumbers, Pipefitters, and Steamfitters",35.0,0.35,Plumbers; Pipefitters; and Steamfitters,direct
47-2152.04,47-2152,Solar Thermal Installers and Technicians,35.0,0.35,Plumbers; Pipefitters; and Steamfitters,direct
47-2161.00,47-2161,Plasterers and Stucco Masons,84.0,0.84,Plasterers and Stucco Masons,direct
47-2171.00,47-2171,Reinforcing Iron and Rebar Workers,90.0,0.9,Reinforcing Iron and Rebar Workers,direct
47-2181.00,47-2181,Roofers,90.0,0.9,Roofers,direct
47-2211.00,47-2211,Sheet Metal Workers,82.0,0.82,Sheet Metal Workers,direct
47-2221.00,47-2221,Structural Iron and Steel Workers,83.0,0.83,Structural Iron and Steel Workers,direct
47-2231.00,47-2231,Solar Photovoltaic Installers,82.5,0.825,[Group avg: 47-22],group_avg
47-3011.00,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",83.0,0.83,HelpersBrickmasons; Blockmasons; Stonemasons; and Tile and Marble Setters,direct
47-3012.00,47-3012,Helpers--Carpenters,92.0,0.92,HelpersCarpenters,direct
47-3013.00,47-3013,Helpers--Electricians,74.0,0.74,HelpersElectricians,direct
47-3014.00,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",94.0,0.94,HelpersPainters; Paperhangers; Plasterers; and Stucco Masons,direct
47-3015.00,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",57.0,0.57,HelpersPipelayers; Plumbers; Pipefitters; and Steamfitters,direct
47-3016.00,47-3016,Helpers--Roofers,72.0,0.72,HelpersRoofers,direct
47-3019.00,47-3019,"Helpers, Construction Trades, All Other",78.66666666666667,0.7866666666666667,[Group avg: 47-30],group_avg
47-4011.00,47-4011,Construction and Building Inspectors,63.0,0.63,Construction and Building Inspectors,direct
47-4011.01,47-4011,Energy Auditors,63.0,0.63,Construction and Building Inspectors,direct
47-4021.00,47-4021,Elevator and Escalator Installers and Repairers,39.0,0.39,Elevator Installers and Repairers,direct
47-4031.00,47-4031,Fence Erectors,92.0,0.92,Fence Erectors,direct
47-4041.00,47-4041,Hazardous Materials Removal Workers,53.0,0.53,Hazardous Materials Removal Workers,direct
47-4051.00,47-4051,Highway Maintenance Workers,87.0,0.87,Highway Maintenance Workers,direct
47-4061.00,47-4061,Rail-Track Laying and Maintenance Equipment Operators,89.0,0.89,Rail-Track Laying and Maintenance Equipment Operators,direct
47-4071.00,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,83.0,0.83,Septic Tank Servicers and Sewer Pipe Cleaners,direct
47-4091.00,47-4091,Segmental Pavers,83.0,0.83,Segmental Pavers,direct
47-4099.00,47-4099,"Construction and Related Workers, All Other",73.625,0.73625,[Group avg: 47-40],group_avg
47-4099.03,47-4099,Weatherization Installers and Technicians,73.625,0.73625,[Group avg: 47-40],group_avg
47-5011.00,47-5011,"Derrick Operators, Oil and Gas",80.0,0.8,Derrick Operators; Oil and Gas,direct
47-5012.00,47-5012,"Rotary Drill Operators, Oil and Gas",53.0,0.53,Rotary Drill Operators; Oil and Gas,direct
47-5013.00,47-5013,"Service Unit Operators, Oil and Gas",93.0,0.93,Service Unit Operators; Oil; Gas; and Mining,direct
47-5022.00,47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",65.63636363636364,0.6563636363636364,[Group avg: 47-50],group_avg
47-5023.00,47-5023,"Earth Drillers, Except Oil and Gas",65.63636363636364,0.6563636363636364,[Group avg: 47-50],group_avg
47-5032.00,47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",65.63636363636364,0.6563636363636364,[Group avg: 47-50],group_avg
47-5041.00,47-5041,Continuous Mining Machine Operators,54.0,0.54,Continuous Mining Machine Operators,direct
47-5043.00,47-5043,"Roof Bolters, Mining",65.63636363636364,0.6563636363636364,[Group avg: 47-50],group_avg
47-5044.00,47-5044,"Loading and Moving Machine Operators, Underground Mining",65.63636363636364,0.6563636363636364,[Group avg: 47-50],group_avg
47-5049.00,47-5049,"Underground Mining Machine Operators, All Other",65.63636363636364,0.6563636363636364,[Group avg: 47-50],group_avg
47-5051.00,47-5051,"Rock Splitters, Quarry",96.0,0.96,Rock Splitters; Quarry,direct
47-5071.00,47-5071,"Roustabouts, Oil and Gas",68.0,0.68,Roustabouts; Oil and Gas,direct
47-5081.00,47-5081,Helpers--Extraction Workers,37.0,0.37,HelpersExtraction Workers,direct
47-5099.00,47-5099,"Extraction Workers, All Other",65.63636363636364,0.6563636363636364,[Group avg: 47-50],group_avg
49-1011.00,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.3,0.003,First-Line Supervisors of Mechanics; Installers; and Repairers,direct
49-2011.00,49-2011,"Computer, Automated Teller, and Office Machine Repairers",74.0,0.74,Computer; Automated Teller; and Office Machine Repairers,direct
49-2021.00,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",93.0,0.93,Radio; Cellular; and Tower Equipment Installers and Repairs,direct
49-2022.00,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",36.0,0.36,Telecommunications Equipment Installers and Repairers; Except Line Installers,direct
49-2091.00,49-2091,Avionics Technicians,70.0,0.7,Avionics Technicians,direct
49-2092.00,49-2092,"Electric Motor, Power Tool, and Related Repairers",76.0,0.76,Electric Motor; Power Tool; and Related Repairers,direct
49-2093.00,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",91.0,0.91,Electrical and Electronics Installers and Repairers; Transportation Equipment,direct
